mode,world,psi,psi_padded,step,loss,ref_loss,abs_loss_delta,comm_bytes_per_rank_per_step,n_collectives_per_step,peak_bytes_per_rank,state_bytes_per_rank,param_bytes,grad_bytes,opt_bytes,act_bytes,transient_bytes,pad_bytes_sent_per_step,opt_elementwise_ops,wall_s_total
ZeRO-0,32,269821,271360,0,6.7721965909,6.7721965909,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,1,6.6796223968,6.6796223968,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,2,6.6536274552,6.6536274552,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,3,6.5925374329,6.5925374329,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,4,6.5228987783,6.5228987783,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,5,6.4776081145,6.4776081145,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,6,6.4489012361,6.4489012361,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,7,6.3570697308,6.3570697308,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,8,6.4256649911,6.4256649911,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,9,6.4380675405,6.4380675405,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,10,6.3375253081,6.3375253081,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,11,6.3744689524,6.3744689524,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,12,6.3428391814,6.3428391814,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,13,6.3345048726,6.3345048726,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,14,6.3143774271,6.3143774271,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
ZeRO-0,32,269821,271360,15,6.3173066527,6.3173066527,0.000e+00,2103040,14,5837188,4341760,1085440,1085440,2170880,1495428,0,11926,2713600,10.291
